Video Name,Frame Number,Right Knee Angle,Right Hip Angle,Right Ankle Angle,Left Knee Angle,Left Hip Angle,Left Ankle Angle
vid4,11,165.28,155.98,143.96,160.39,133.64,151.46
vid4,12,163.18,156.76,141.81,164.16,138.35,148.47
vid4,13,162.22,157.52,141.07,164.5,140.23,144.6
vid4,14,162.54,158.95,140.71,162.53,140.93,138.2
vid4,15,163.1,160.54,140.49,162.22,144.13,139.14
vid4,16,163.74,162.5,139.95,163.14,147.9,138.11
vid4,17,166.43,166.03,140.87,164.13,151.25,139.06
vid4,18,167.67,168.57,142.28,164.24,154.27,138.8
vid4,19,170.12,173.05,143.39,165.38,159.44,139.04
vid4,20,172.43,177.54,142.76,166.98,163.61,138.86
vid4,21,174.93,178.59,143.53,168.97,166.73,137.31
vid4,22,176.85,175.12,143.64,171.11,169.39,132.83
vid4,23,176.87,174.04,142.76,173.2,171.98,129.07
vid4,24,175.47,174.11,139.13,174.41,173.36,130.47
vid4,25,174.91,174.13,137.39,175.64,174.91,130.2
vid4,26,174.88,173.12,138.01,176.89,177.32,127.54
vid4,27,173.5,173.81,136.37,176.61,177.72,126.62
vid4,28,173.43,173.41,136.97,177.05,178.77,126.9
vid4,29,174.53,171.31,136.98,177.41,179.09,127.0
vid4,30,173.64,171.12,136.54,177.55,177.85,127.17
vid4,31,171.89,171.51,136.57,176.88,177.79,126.96
vid4,32,169.85,172.86,135.14,175.53,178.77,127.0
vid4,33,169.06,173.18,130.85,175.61,178.61,127.86
vid4,34,170.81,171.86,128.66,175.03,178.37,129.98
vid4,35,171.58,172.29,129.0,174.89,178.17,131.39
vid4,36,171.76,172.77,130.62,175.28,178.09,131.94
vid4,37,171.57,172.43,130.52,176.07,177.25,131.91
vid4,38,171.19,172.65,129.44,177.21,176.59,130.99
vid4,39,170.98,172.52,130.16,178.0,175.97,132.72
vid4,40,172.07,171.75,132.24,178.76,175.3,133.68
vid4,41,172.65,171.52,133.33,178.76,175.03,134.54
vid4,42,172.98,171.26,134.22,178.66,174.75,133.82
vid4,43,172.74,171.51,133.59,178.69,174.74,133.73
vid4,44,172.68,172.01,134.69,178.68,174.87,133.79
vid4,45,172.69,172.16,135.41,177.8,175.26,133.49
vid4,46,172.3,172.49,134.72,176.87,175.75,132.82
vid4,47,172.33,172.53,134.21,176.43,175.77,132.0
vid4,48,172.36,172.54,133.1,176.15,175.83,132.13
vid4,49,172.46,172.51,132.56,175.73,176.01,132.27
vid4,50,172.49,172.52,132.08,175.69,176.03,132.29
vid4,51,172.42,172.6,132.06,175.43,176.12,132.31
vid4,52,172.34,172.58,132.07,175.23,176.07,133.46
vid4,53,171.79,173.64,132.09,175.04,176.16,135.59
vid4,54,171.22,174.88,133.01,175.18,176.06,136.81
vid4,55,171.1,175.24,133.01,175.58,176.15,136.95
vid4,56,171.53,174.89,132.95,177.37,175.58,137.75
vid4,57,171.78,174.3,131.73,178.91,174.87,137.75
vid4,58,172.63,173.72,131.11,179.71,174.73,137.23
vid4,59,173.92,172.86,131.91,179.94,175.19,136.99
vid4,60,175.01,172.45,132.36,179.79,175.32,136.83
vid4,61,176.19,172.02,132.92,179.85,175.06,137.02
vid4,62,177.05,171.87,132.39,179.85,175.08,136.3
vid4,63,178.5,171.16,131.95,179.2,174.25,136.11
vid4,64,179.89,170.4,133.76,178.89,173.48,136.53
vid4,65,179.82,170.32,133.55,178.83,173.15,136.28
vid4,66,179.92,170.53,133.93,178.43,172.57,136.46
vid4,67,179.84,171.23,132.95,178.23,172.75,135.21
vid4,68,178.89,172.2,131.97,178.3,173.14,134.85
vid4,69,177.72,172.61,131.28,177.66,173.22,135.46
vid4,70,176.87,173.18,130.71,177.51,173.49,134.52
vid4,71,176.04,173.69,130.02,177.61,173.55,134.35
vid4,72,173.42,174.26,124.47,177.38,173.06,134.04
vid4,73,171.51,175.17,121.76,177.98,173.6,133.03
vid4,74,169.0,176.39,123.04,178.52,174.43,132.42
vid4,75,166.55,177.27,124.12,178.58,174.65,131.44
vid4,76,163.31,179.01,126.29,177.54,176.33,130.34
vid4,77,161.78,179.79,132.1,174.73,177.6,130.75
vid4,78,163.36,179.07,137.03,172.91,178.22,131.68
vid4,79,166.38,177.3,137.5,171.81,177.77,131.85
vid4,80,162.7,179.1,133.74,172.85,177.63,132.26
vid4,81,159.42,177.23,132.5,173.77,177.79,133.74
vid4,82,162.01,176.48,135.94,175.64,177.97,138.09
vid4,83,165.39,176.41,131.23,176.4,178.06,139.99
vid4,84,169.87,177.4,127.53,177.74,176.5,136.8
vid4,85,170.21,174.16,117.68,178.33,175.83,133.42
vid4,86,174.01,173.09,116.1,178.76,175.69,132.06
vid4,87,176.17,171.44,116.16,178.97,175.65,129.64
vid4,88,175.4,170.43,108.54,178.83,174.95,126.7
vid4,89,175.69,170.1,109.21,177.75,174.56,127.1
vid4,90,173.83,168.67,112.29,178.05,172.48,127.23
vid4,91,171.97,168.63,114.51,177.48,171.6,130.24
vid4,92,172.85,169.37,121.74,171.64,173.57,131.58
vid4,93,174.56,171.88,123.37,166.34,173.99,134.26
vid4,94,172.4,172.55,120.16,161.47,174.87,136.34
vid4,95,172.58,174.08,122.3,151.79,178.72,139.04
vid4,96,170.89,174.93,119.94,146.44,179.45,142.76
vid4,97,170.35,175.02,119.29,144.45,178.95,141.88
vid4,98,170.85,178.21,118.73,146.27,179.31,138.0
vid4,99,171.73,179.57,118.8,147.26,179.23,129.46
vid4,100,173.42,179.77,120.62,141.6,175.42,134.89
vid4,101,176.35,178.69,124.76,145.55,173.93,141.17
vid4,102,178.88,176.31,133.27,152.06,173.18,131.62
vid4,103,179.95,174.31,133.87,155.67,171.64,124.55
vid4,104,178.43,170.79,133.04,163.8,170.33,129.91
vid4,105,179.93,170.83,130.98,170.39,170.39,128.46
vid4,106,179.67,169.18,129.77,177.02,170.89,115.71
vid4,107,179.15,167.77,129.99,178.91,170.69,106.61
vid4,108,177.22,168.09,131.08,177.65,170.77,106.69
vid4,109,174.96,168.03,131.87,173.36,169.19,122.57
vid4,110,171.63,168.24,133.06,170.96,169.82,126.37
vid4,111,166.17,169.28,136.17,171.27,171.76,128.77
vid4,112,158.04,171.92,140.32,174.03,174.21,126.38
vid4,113,148.28,176.7,144.0,176.68,177.42,127.18
vid4,114,142.43,178.95,149.61,175.34,177.64,130.86
vid4,115,139.18,178.01,145.22,174.67,178.76,126.45
vid4,116,141.36,176.85,136.41,173.66,179.16,126.43
vid4,117,149.9,176.02,142.05,168.54,179.15,126.39
vid4,118,158.59,177.25,138.26,165.14,179.05,132.19
vid4,119,162.56,177.36,138.19,163.8,178.77,133.39
vid4,120,171.01,179.82,137.66,159.24,175.91,131.95
vid4,121,171.8,178.93,132.73,167.12,174.65,137.61
vid4,122,173.69,173.1,116.37,178.55,179.49,143.87
vid4,123,176.24,169.96,108.18,176.44,178.59,148.97
vid4,124,178.2,170.72,103.53,174.25,177.96,148.67
